Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2005-10,0.0003616798582850578,1.426568143614304e-05,1.1557783034668936e-08,1.3506144385736483e-10,6.3844673775437996e-12,4.4431765779990294e-14,0.0
2005-11,0.0004353668703327429,1.7109949251858936e-05,1.3855193167354625e-08,1.6196593735885048e-10,7.657423020835925e-12,5.3289244596112705e-14,0.0
2005-12,0.0015680925706584858,0.002281616738214476,9.326704384363593e-07,3.5967076933382614e-09,7.047023234953917e-11,7.65742093683709e-12,9.794538430633014e-15
2006-01,3.4594673050707847,5.306049093723342,0.002276278920250113,9.514387964922786e-06,1.827268323535186e-07,1.7794560471593207e-08,1.1699689721333538e-11
2006-02,13.902581925694978,5.459993444254923,0.003246677381795219,2.1422505525927206e-05,5.22685680281139e-07,1.8283723331132232e-08,1.1556068805324525e-12
2006-03,1.5261667782125787,0.09560970107695965,9.812669943392313e-05,1.2172634479888748e-06,3.9221416834135605e-08,3.192700978706451e-10,1.9613047893673324e-16
2006-04,0.15945389510847452,0.008128730541556717,8.737273484999818e-06,1.1508832144720317e-07,3.814483655147667e-09,2.7136089222409823e-11,9.867933835512599e-18
2006-05,0.023545697260374254,0.0011550163968365723,1.2462567812991264e-06,1.6526943130846028e-08,5.495123183741464e-10,3.8555145311962175e-12,1.3129010682441655e-18
2006-06,0.005019769050340628,0.00024234966236047484,2.6153726610897866e-07,3.4728150595237693e-09,1.1553877971183151e-10,8.08953908281773e-13,2.964615315390051e-19
2006-07,0.0015563469960788723,7.441519336293112e-05,8.028836864283368e-08,1.066587861270621e-09,3.5492100197245866e-11,2.483904872639104e-13,4.2351647362715017e-20
2006-08,0.0007026510428165267,3.33681281494691e-05,3.5989417904711864e-08,4.782485691003796e-10,1.5916534860454687e-11,1.1137749241133888e-13,8.470329472543003e-20
2006-09,0.00046202499548453346,2.18283679798148e-05,2.3548807771400088e-08,3.12899478314544e-10,1.0413148545055414e-11,7.286029862905752e-14,0.0
2006-10,0.00044276673840659697,2.0833933556119177e-05,2.2484796598394585e-08,2.9870094005131814e-10,9.93977033051581e-12,6.95421470539851e-14,0.0
2006-11,0.0006188989127409172,2.9025829662021607e-05,3.1302972971418257e-08,4.160575089898704e-10,1.3848061786071075e-11,9.688280122293674e-14,4.2351647362715017e-20
2006-12,0.0025345754043559765,0.004622701599010792,1.8188414208997541e-06,9.600964711478436e-09,1.917823156483723e-10,1.6830027547780642e-11,2.1687855097972733e-14
2007-01,5.899294825139045,8.727428796576596,0.0038019456045323145,2.3197751320601126e-05,4.893778803725909e-07,3.175667550427584e-08,1.628333664465461e-11
2007-02,12.441033049227679,3.903357863047918,0.0025158191901403465,2.5913800416168716e-05,7.125127537106487e-07,1.4177391787509243e-08,8.872898821384555e-14
2007-03,1.1548084469819697,0.0711497376249981,7.400119271590722e-05,1.3281130672283161e-06,4.667950136794143e-08,2.577838537667616e-10,1.3446648037662018e-16
2007-04,0.12100029417978497,0.006335500368048752,6.818321157079244e-06,1.280350080674986e-07,4.597228164617443e-09,2.294864566220344e-11,8.131516293641283e-18
2007-05,0.018186934745023642,0.0009210168391171614,9.938747635811467e-07,1.8761043235522556e-08,6.753032587314929e-10,3.3359267262656106e-12,1.1434944787933055e-18
2007-06,0.003988648556307872,0.0001990339346114034,2.147881812024962e-07,4.0587430993396445e-09,1.461665688440076e-10,7.208824701111993e-13,2.1175823681357508e-19
2007-07,0.0012850537812747476,6.35381781077804e-05,6.856086689588196e-08,1.295946121462622e-09,4.667718471360635e-11,2.3012692700920575e-13,8.470329472543003e-20
2007-08,0.0006081807359725744,2.9875571472270934e-05,3.221352662700558e-08,6.092284864455777e-10,2.194850561571951e-11,1.0820157761350298e-13,4.2351647362715017e-20
2007-09,0.00042330133629420175,2.0691688196183833e-05,2.2333443785733237e-08,4.2213330641137093e-10,1.5204110752353044e-11,7.494323187991877e-14,4.2351647362715017e-20
2007-10,0.0004337841181589752,2.1122051652167073e-05,2.2788390228664634e-08,4.308602211583511e-10,1.5520560412533145e-11,7.650044130042738e-14,0.0
2007-11,0.0006545342426278467,3.177025748035689e-05,3.4274767258309774e-08,6.480876894247772e-10,2.3346509484425656e-11,1.15065974039121e-13,4.2351647362715017e-20
2007-12,0.004634908199507848,0.009581860115048801,3.3161093126717143e-06,2.0470574694905236e-08,5.59487733992157e-10,5.39773596551824e-11,4.967742356528065e-14
2008-01,4.667945809575924,7.6777360397680905,0.0028817707937685787,2.001423061887265e-05,5.795846959068365e-07,4.326021100006074e-08,1.7631453997065468e-11
2008-02,11.921016234602423,4.952273712400546,0.0026255844381980068,2.900497675562044e-05,1.0638671223441176e-06,2.7860178666822274e-08,6.188495133956909e-13
2008-03,1.3634288910817194,0.12040464383601401,0.00010067053040950318,1.8874483463721123e-06,8.759161238550836e-08,6.758266286403279e-10,2.8727122406129596e-16
2008-04,0.16145201249693208,0.011851209233160187,1.0328624253314392e-05,2.0429876080920662e-07,9.723710603152172e-09,6.650306003401295e-11,1.7702988597614877e-17
2008-05,0.027440654815591436,0.0019404411370271824,1.6982491781922498e-06,3.381862861282052e-08,1.6147872613046613e-09,1.0888128693575233e-11,2.752857078576476e-18
2008-06,0.006848281728077943,0.0004767855231402329,4.174657409474966e-07,8.324761494095411e-09,3.977543319398066e-10,2.675257080852956e-12,7.199780051661553e-19
2008-07,0.0025211020337367884,0.0001738740548873352,1.522337992698828e-07,3.0371663586101878e-09,1.4514769219234286e-10,9.755984130820923e-13,2.1175823681357508e-19
2008-08,0.0013747323548862767,9.418625355195331e-05,8.246264013972958e-08,1.6454880352017985e-09,7.864562996388623e-11,5.284713957913956e-13,1.2705494208814505e-19
2008-09,0.0011095606551769777,7.56380168387416e-05,6.61985342139803e-08,1.3213954149124115e-09,6.316584072126301e-11,4.2439036008309233e-13,8.470329472543003e-20
2008-10,0.001326503566279058,9.006559941182601e-05,7.883590649325652e-08,1.5737040375748279e-09,7.522805714265471e-11,5.053421950196615e-13,1.2705494208814505e-19
2008-11,0.0023500155544642354,0.00015901900493053844,1.3919692233707245e-07,2.7790300528359607e-09,1.3285593943952558e-10,8.922249470143978e-13,2.541098841762901e-19
2008-12,0.012156127381390824,0.02343348823934388,9.424699275292683e-06,5.7769918953520276e-08,1.8088618367484968e-09,2.129665492920162e-10,2.675191780609782e-13
2009-01,3.2950706351070114,5.8370245258551945,0.0024858356368634305,1.6331277703267456e-05,5.236446377137904e-07,5.313770940349526e-08,3.510779267162109e-11
2009-02,10.488994295568954,5.980348467419628,0.0033848151000961304,3.2625654364647395e-05,1.2709715265703387e-06,5.437086617772354e-08,3.782890435293884e-12
2009-03,1.6713134442273514,0.24670482130988436,0.0002069620613962236,3.1684804199708756e-06,1.5194004368952502e-07,2.2384370755515656e-09,1.5793776334503684e-15
2009-04,0.23169217350509363,0.027545303278553313,2.433098566056828e-05,3.9794945575986433e-07,1.9686615330506422e-08,2.498485655586249e-10,9.829817352886155e-17
2009-05,0.04519207456183949,0.005143854285172278,4.572659462333912e-06,7.551447502882077e-08,3.752879227913463e-09,4.6653584688826425e-11,1.7025362239811437e-17
2009-06,0.012869813023064225,0.0014407648035064113,1.2820104558670942e-06,2.1218060579049277e-08,1.055582651139001e-09,1.3067002459535227e-11,4.701032857261367e-18
2009-07,0.0053899981844462985,0.0005977213901942058,5.31926823638465e-07,8.810645660757056e-09,4.384864033581315e-10,5.420933849968619e-12,1.9481757786848908e-18
2009-08,0.0033297035774371153,0.00036685133446567875,3.264666324060382e-07,5.409710374506142e-09,2.692819195498475e-10,3.32705890604781e-12,1.1434944787933055e-18
2009-09,0.0030359150714254213,0.00033283216746005095,2.9615545636511864e-07,4.909267564535174e-09,2.444139305564588e-10,3.0184904133847006e-12,1.1011428314305904e-18
2009-10,0.004086984032758423,0.0004462315289610608,3.970803125002108e-07,6.584226668004302e-09,3.2785020804530745e-10,4.0468953930188665e-12,1.4823076576950256e-18
2009-11,0.008122664914012034,0.0008834177105621066,7.86279980382644e-07,1.304345044503406e-08,6.496107808559677e-10,8.011714216003328e-12,2.837560373301906e-18
2009-12,0.05598550793344259,0.11060561699175464,6.389559490938804e-05,4.214596183703558e-07,1.153629755020118e-08,1.4332022765011044e-09,3.262537512894949e-12
2010-01,3.9955427695984813,6.540834900710313,0.004065022532823138,2.9765508603104338e-05,8.420194340258833e-07,8.488182331127804e-08,9.191604958542598e-11
2010-02,7.893132787126111,4.614848090493084,0.0037479757213726766,3.900560276983665e-05,1.3117512409557094e-06,5.98054687242873e-08,5.494941592129772e-12
2010-03,1.5008444015038425,0.3216362047447241,0.0003470530420835122,5.091627528057593e-06,2.001360877856888e-07,4.161534708296688e-09,1.8015713161741165e-14
2010-04,0.26196576402446325,0.04625265953959179,5.225610208467284e-05,8.145077081112205e-07,3.2941509838197597e-08,5.982510905026816e-10,1.5323673048777547e-15
2010-05,0.06400197580149758,0.010802652573538296,1.2294009411417759e-05,1.9381064924991425e-07,7.880652950011584e-09,1.3971263510298851e-10,3.273782341137871e-16
2010-06,0.022902895509480103,0.0037984046657779658,4.329247362059837e-06,6.846944778053671e-08,2.788341942771762e-09,4.9123305098430844e-11,1.1248597539537109e-16
2010-07,0.01211779470926544,0.0019898819459518435,2.268844325104989e-06,3.593390493621377e-08,1.4643516034897148e-09,2.573368329126845e-11,5.840292171318401e-17
2010-08,0.009509670668927939,0.0015508130903452155,1.7685232082064427e-06,2.8035248271571838e-08,1.1429627091002693e-09,2.0055138937415255e-11,4.5189207736016923e-17
2010-09,0.011077144577686937,0.0017961945840916371,2.048834424366779e-06,3.2505314565446704e-08,1.3257146481014788e-09,2.3228066633857997e-11,5.2134877903502186e-17
2010-10,0.019148787262546207,0.0030872264208170463,3.5233129657189464e-06,5.595866945151162e-08,2.2834226665877353e-09,3.992291151584894e-11,8.889610781433882e-17
2010-11,0.049036425754556134,0.007838309417174116,8.959184037026944e-06,1.4260903065548667e-07,5.825402423180721e-09,1.0136065931345683e-10,2.2175322559117583e-16
2010-12,0.25562439915587376,0.4773212606757449,0.00037337058198369435,3.4178071704758725e-06,8.606795482771844e-08,9.224523630687168e-09,2.8171471630291148e-11
2011-01,4.525135137205671,6.7503318165143655,0.005690799808767678,5.951937301163897e-05,1.5719018673441853e-06,1.3089769839789323e-07,1.7082914113641197e-10
2011-02,5.173856881151417,3.189557016029032,0.0034039040826009488,4.825380663277525e-05,1.4734470664244802e-06,6.176499612020251e-08,7.409561652389415e-12
2011-03,1.1964364021129104,0.3845650706148396,0.0004900801434486982,8.675154254068182e-06,2.9342336088975385e-07,7.438674650793916e-09,1.0167584446098017e-13
2011-04,0.27284088344901036,0.07504824297093204,9.919019907202783e-05,1.8453063179180083e-06,6.389349269121598e-08,1.4512221579789393e-09,1.3025884421113444e-14
2011-05,0.08572568204758824,0.022564656083745582,3.0053881966527092e-05,5.660837279598725e-07,1.9716254940350657e-08,4.3628774398187026e-10,3.5564795872839935e-15
